simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
4,Ricker,Smsy,1928.814402774944,Ricker,1926.53,1921.38,1931.71,1.001,-0.11843559295583517,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.53,9947.19
4,Ricker,alpha,5.1,Ricker,5.08,5.02,5.14,1.001,-0.3921568627450897,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.53,9947.19
4,Ricker,sigma,0.1,Ricker,0.12,0.09,0.16,1.001,19.99999999999999,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.08,0.12,1926.53,9947.19
5,Beverton-Holt,K,10000,Beverton-Holt,10045.5,9669.07,10453.6,1.004,0.455,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.67,0.11,345.88,10045.5
5,Beverton-Holt,Smsy,724.2648536151773,Beverton-Holt,345.88,73.44,1377.14,1.005,-52.24398943652512,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.67,0.11,345.88,10045.5
5,Beverton-Holt,alpha,5.1,Beverton-Holt,6.67,3.74,9.82,1.005,30.784313725490204,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.67,0.11,345.88,10045.5
5,Beverton-Holt,sigma,0.1,Beverton-Holt,0.11,0.09,0.14,1.001,9.999999999999995,1566.7326309837813,5.1,0.1,724.2648536151773,10000,6.67,0.11,345.88,10045.5
5,Ricker,K,10000,Beverton-Holt,14636.1,1208.72,160562.3,1.013,46.361000000000004,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.07,16.01,998.91,14636.1
5,Ricker,Smsy,1928.814402774944,Beverton-Holt,998.91,38.66,24222.59,1.008,-48.211191363830054,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.07,16.01,998.91,14636.1
5,Ricker,alpha,5.1,Beverton-Holt,5.07,0.29,9.73,1.003,-0.5882352941176345,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.07,16.01,998.91,14636.1
5,Ricker,sigma,0.1,Beverton-Holt,16.01,12.26,21.75,1.009,15910.000000000002,17.884133894980142,5.1,0.1,1928.814402774944,10000,5.07,16.01,998.91,14636.1
