simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
12,Beverton-Holt,sigma,0.71073752986775,Beverton-Holt,0.75,0.6,0.97,1,5.524186986376782,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.59,0.75,324,9039.72
12,Beverton-Holt,K,9706,Ricker,11815.42,8950.59,16569.33,1.001,21.733154749639397,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.26,0.91,4868.47,11815.42
12,Beverton-Holt,Smsy,2444.7435433883666,Ricker,4868.47,3771.32,6975.53,1.002,99.14031527627624,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.26,0.91,4868.47,11815.42
12,Beverton-Holt,alpha,2.1772253046315893,Ricker,1.26,0.81,1.69,1.002,-42.128175833726765,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.26,0.91,4868.47,11815.42
12,Beverton-Holt,sigma,0.71073752986775,Ricker,0.91,0.73,1.19,1.002,28.036013543470503,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.26,0.91,4868.47,11815.42
13,Beverton-Holt,K,9706,Beverton-Holt,9071.91,7117.07,11595.94,1.004,-6.532969297341852,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.67,0.75,307.07,9071.91
13,Beverton-Holt,Smsy,2444.7435433883666,Beverton-Holt,307.07,64.94,1905.95,1.002,-87.43958233040644,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.67,0.75,307.07,9071.91
13,Beverton-Holt,alpha,2.1772253046315893,Beverton-Holt,6.67,2.78,9.81,1.002,206.35322792781145,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.67,0.75,307.07,9071.91
13,Beverton-Holt,sigma,0.71073752986775,Beverton-Holt,0.75,0.6,0.96,1.001,5.524186986376782,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.67,0.75,307.07,9071.91
13,Beverton-Holt,K,9706,Ricker,11774.2,8957.2,16421.92,1,21.308468988254695,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4861.3,11774.2
13,Beverton-Holt,Smsy,2444.7435433883666,Ricker,4861.3,3786.03,6873.68,1.001,98.8470329800865,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4861.3,11774.2
13,Beverton-Holt,alpha,2.1772253046315893,Ricker,1.24,0.81,1.7,1.003,-43.04677621731841,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4861.3,11774.2
13,Beverton-Holt,sigma,0.71073752986775,Ricker,0.91,0.73,1.17,1.002,28.036013543470503,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4861.3,11774.2
14,Beverton-Holt,K,9706,Beverton-Holt,9053.11,7105.8,11736.62,1,-6.726663919225215,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.7,0.75,309.07,9053.11
14,Beverton-Holt,Smsy,2444.7435433883666,Beverton-Holt,309.07,64.03,1978.2,1.001,-87.35777415852645,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.7,0.75,309.07,9053.11
14,Beverton-Holt,alpha,2.1772253046315893,Beverton-Holt,6.7,2.72,9.82,1,207.7311285031989,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.7,0.75,309.07,9053.11
14,Beverton-Holt,sigma,0.71073752986775,Beverton-Holt,0.75,0.6,0.96,1.001,5.524186986376782,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.7,0.75,309.07,9053.11
14,Beverton-Holt,K,9706,Ricker,11805.52,8954.92,16362.23,1,21.631155985988055,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4869.92,11805.52
14,Beverton-Holt,Smsy,2444.7435433883666,Ricker,4869.92,3792.07,6905.16,1.001,99.19962620088921,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4869.92,11805.52
14,Beverton-Holt,alpha,2.1772253046315893,Ricker,1.24,0.82,1.69,1.002,-43.04677621731841,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4869.92,11805.52
14,Beverton-Holt,sigma,0.71073752986775,Ricker,0.91,0.74,1.18,1.002,28.036013543470503,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4869.92,11805.52
15,Beverton-Holt,K,9706,Beverton-Holt,9074.86,7053.79,11631.63,1.002,-6.502575726354826,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.66,0.75,313.67,9074.86
15,Beverton-Holt,Smsy,2444.7435433883666,Beverton-Holt,313.67,63.4,1944.27,1.003,-87.1696153632025,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.66,0.75,313.67,9074.86
15,Beverton-Holt,alpha,2.1772253046315893,Beverton-Holt,6.66,2.72,9.88,1.001,205.89392773601563,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.66,0.75,313.67,9074.86
15,Beverton-Holt,sigma,0.71073752986775,Beverton-Holt,0.75,0.61,0.96,1.002,5.524186986376782,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,6.66,0.75,313.67,9074.86
15,Beverton-Holt,K,9706,Ricker,11769.31,8927.98,16480.47,1.001,21.258087780754167,2.1772253046315893,0.71073752986775,2444.7435433883666,9706,1.24,0.91,4863.23,11769.31
