simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,b_cov,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
4,Ricker,sigma,1.6452532895259242,Beverton-Holt,2.81,2.3,3.49,1.001,70.7943705622187,524.7122506150913,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,5.24,2.81,472.06,7179.32
4,Ricker,K,8149,Ricker,11579.55,7133.76,15784.22,1,42.09780341146152,524.7122506150913,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,1.58,1.59,4514.99,11579.55
4,Ricker,Smsy,3507.0593042934433,Ricker,4514.99,3108.89,5578.25,1.001,28.74005279787024,524.7122506150913,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,1.58,1.59,4514.99,11579.55
4,Ricker,alpha,1.0350420754968355,Ricker,1.58,0.92,2.24,1,52.650799170804405,524.7122506150913,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,1.58,1.59,4514.99,11579.55
4,Ricker,b_cov,0.1808314737006846,Ricker,0.52,0.01,1.01,1.001,187.56056086824412,524.7122506150913,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,1.58,1.59,4514.99,11579.55
4,Ricker,sigma,1.6452532895259242,Ricker,1.59,1.3,2,1.001,-3.3583454825879864,524.7122506150913,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,1.58,1.59,4514.99,11579.55
5,Ricker,K,8843,Beverton-Holt,10537.35,4788.87,32995.04,1.003,19.16035282144069,137.7395232678299,0.8920427982589443,0.6930205296196383,0.8461401920214873,3895.2003477766384,8843,0.94,0.72,4027.35,10537.35
5,Ricker,Smsy,3895.2003477766384,Beverton-Holt,4027.35,1721.43,13300.76,1.003,3.3926278605615727,137.7395232678299,0.8920427982589443,0.6930205296196383,0.8461401920214873,3895.2003477766384,8843,0.94,0.72,4027.35,10537.35
5,Ricker,alpha,0.8920427982589443,Beverton-Holt,0.94,0.54,1.45,1.003,5.376109961837788,137.7395232678299,0.8920427982589443,0.6930205296196383,0.8461401920214873,3895.2003477766384,8843,0.94,0.72,4027.35,10537.35
5,Ricker,b_cov,0.8461401920214873,Beverton-Holt,0.62,0.17,1.1,1.001,-26.726090328036868,137.7395232678299,0.8920427982589443,0.6930205296196383,0.8461401920214873,3895.2003477766384,8843,0.94,0.72,4027.35,10537.35
5,Ricker,sigma,0.6930205296196383,Beverton-Holt,0.72,0.56,0.97,1.001,3.893026140967168,137.7395232678299,0.8920427982589443,0.6930205296196383,0.8461401920214873,3895.2003477766384,8843,0.94,0.72,4027.35,10537.35
5,Ricker,K,8843,Ricker,13227.9,8430.02,24173.08,1.001,49.58611330996268,137.7395232678299,0.8920427982589443,0.6930205296196383,0.8461401920214873,3895.2003477766384,8843,0.85,0.72,5825.54,13227.9
5,Ricker,Smsy,3895.2003477766384,Ricker,5825.54,3786.28,10686.26,1.001,49.55687717899261,137.7395232678299,0.8920427982589443,0.6930205296196383,0.8461401920214873,3895.2003477766384,8843,0.85,0.72,5825.54,13227.9
5,Ricker,alpha,0.8920427982589443,Ricker,0.85,0.55,1.17,1.002,-4.713092055784975,137.7395232678299,0.8920427982589443,0.6930205296196383,0.8461401920214873,3895.2003477766384,8843,0.85,0.72,5825.54,13227.9
5,Ricker,b_cov,0.8461401920214873,Ricker,0.65,0.2,1.11,1.001,-23.180578569716065,137.7395232678299,0.8920427982589443,0.6930205296196383,0.8461401920214873,3895.2003477766384,8843,0.85,0.72,5825.54,13227.9
5,Ricker,sigma,0.6930205296196383,Ricker,0.72,0.56,0.97,1.001,3.893026140967168,137.7395232678299,0.8920427982589443,0.6930205296196383,0.8461401920214873,3895.2003477766384,8843,0.85,0.72,5825.54,13227.9
6,Beverton-Holt,K,8142,Beverton-Holt,8884.56,336.72,55150.84,1.004,9.120117907148114,20.525732214445863,1.4581599758167985,1.7556353030984457,-3.2682845978352004,2649.3795259123253,8142,0.31,1.8,3757.82,8884.56
6,Beverton-Holt,Smsy,2649.3795259123253,Beverton-Holt,3757.82,166.34,24315.43,1.004,41.837738355208984,20.525732214445863,1.4581599758167985,1.7556353030984457,-3.2682845978352004,2649.3795259123253,8142,0.31,1.8,3757.82,8884.56
6,Beverton-Holt,alpha,1.4581599758167985,Beverton-Holt,0.31,0.01,1.88,1.008,-78.74032992666999,20.525732214445863,1.4581599758167985,1.7556353030984457,-3.2682845978352004,2649.3795259123253,8142,0.31,1.8,3757.82,8884.56
6,Beverton-Holt,b_cov,-3.2682845978352004,Beverton-Holt,-1.98,-3.08,-0.72,1.007,-39.41776057961769,20.525732214445863,1.4581599758167985,1.7556353030984457,-3.2682845978352004,2649.3795259123253,8142,0.31,1.8,3757.82,8884.56
6,Beverton-Holt,sigma,1.7556353030984457,Beverton-Holt,1.8,1.35,2.58,1.005,2.5269881975634094,20.525732214445863,1.4581599758167985,1.7556353030984457,-3.2682845978352004,2649.3795259123253,8142,0.31,1.8,3757.82,8884.56
6,Beverton-Holt,K,8142,Ricker,30891.7,1024.37,193210.3,1.002,279.4116924588553,20.525732214445863,1.4581599758167985,1.7556353030984457,-3.2682845978352004,2649.3795259123253,8142,0.12,2.12,15181.3,30891.7
