simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,b_cov,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
4,Ricker,b_cov,0.1808314737006846,Ricker,0.38,-0.1,0.86,1,110.14040986525534,472.03085606800533,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,1.65,1.61,4869.25,12648.9
4,Ricker,sigma,1.6452532895259242,Ricker,1.61,1.32,2.02,1,-2.142727186771482,472.03085606800533,1.0350420754968355,1.6452532895259242,0.1808314737006846,3507.0593042934433,8149,1.65,1.61,4869.25,12648.9
5,Ricker,K,8843,Beverton-Holt,4098.56,2428.5,7282.79,1.001,-53.65192807870631,205.35839486907562,0.8920427982589443,0.6930205296196383,0.8461401920214873,3895.2003477766384,8843,4.77,1.31,347.86,4098.56
5,Ricker,Smsy,3895.2003477766384,Beverton-Holt,347.86,29.3,1855.35,1,-91.06952225965586,205.35839486907562,0.8920427982589443,0.6930205296196383,0.8461401920214873,3895.2003477766384,8843,4.77,1.31,347.86,4098.56
5,Ricker,alpha,0.8920427982589443,Beverton-Holt,4.77,1.05,9.7,1,434.7277069340067,205.35839486907562,0.8920427982589443,0.6930205296196383,0.8461401920214873,3895.2003477766384,8843,4.77,1.31,347.86,4098.56
5,Ricker,b_cov,0.8461401920214873,Beverton-Holt,1.4,0.85,1.92,1.001,65.45721538830384,205.35839486907562,0.8920427982589443,0.6930205296196383,0.8461401920214873,3895.2003477766384,8843,4.77,1.31,347.86,4098.56
5,Ricker,sigma,0.6930205296196383,Beverton-Holt,1.31,1.03,1.77,1,89.02758922870416,205.35839486907562,0.8920427982589443,0.6930205296196383,0.8461401920214873,3895.2003477766384,8843,4.77,1.31,347.86,4098.56
5,Ricker,K,8843,Ricker,9393.53,6133.41,12501.51,1,6.225602171208873,205.35839486907562,0.8920427982589443,0.6930205296196383,0.8461401920214873,3895.2003477766384,8843,0.87,0.75,4148.84,9393.53
5,Ricker,Smsy,3895.2003477766384,Ricker,4148.84,2850.88,5272.23,1,6.511594515751623,205.35839486907562,0.8920427982589443,0.6930205296196383,0.8461401920214873,3895.2003477766384,8843,0.87,0.75,4148.84,9393.53
5,Ricker,alpha,0.8920427982589443,Ricker,0.87,0.53,1.21,1.001,-2.4710471629799144,205.35839486907562,0.8920427982589443,0.6930205296196383,0.8461401920214873,3895.2003477766384,8843,0.87,0.75,4148.84,9393.53
5,Ricker,b_cov,0.8461401920214873,Ricker,1.01,0.7,1.32,1,19.365562530133495,205.35839486907562,0.8920427982589443,0.6930205296196383,0.8461401920214873,3895.2003477766384,8843,0.87,0.75,4148.84,9393.53
5,Ricker,sigma,0.6930205296196383,Ricker,0.75,0.58,1.01,1,8.221902230174138,205.35839486907562,0.8920427982589443,0.6930205296196383,0.8461401920214873,3895.2003477766384,8843,0.87,0.75,4148.84,9393.53
6,Beverton-Holt,K,8142,Beverton-Holt,9551.07,869.95,34794.18,1.002,17.30619012527634,6.240231806366679,1.4581599758167985,1.7556353030984457,-3.2682845978352004,2649.3795259123253,8142,0.64,1.72,3714.7,9551.07
6,Beverton-Holt,Smsy,2649.3795259123253,Beverton-Holt,3714.7,429.77,13691.08,1.002,40.210187467226945,6.240231806366679,1.4581599758167985,1.7556353030984457,-3.2682845978352004,2649.3795259123253,8142,0.64,1.72,3714.7,9551.07
6,Beverton-Holt,alpha,1.4581599758167985,Beverton-Holt,0.64,0.03,2.02,1.001,-56.109068235705784,6.240231806366679,1.4581599758167985,1.7556353030984457,-3.2682845978352004,2649.3795259123253,8142,0.64,1.72,3714.7,9551.07
6,Beverton-Holt,b_cov,-3.2682845978352004,Beverton-Holt,-2.77,-3.48,-1.97,1.001,-15.246058992697485,6.240231806366679,1.4581599758167985,1.7556353030984457,-3.2682845978352004,2649.3795259123253,8142,0.64,1.72,3714.7,9551.07
6,Beverton-Holt,sigma,1.7556353030984457,Beverton-Holt,1.72,1.29,2.46,1.001,-2.0297668334394126,6.240231806366679,1.4581599758167985,1.7556353030984457,-3.2682845978352004,2649.3795259123253,8142,0.64,1.72,3714.7,9551.07
6,Beverton-Holt,K,8142,Ricker,50279.55,1758.46,312543.67,1.002,517.533161385409,6.240231806366679,1.4581599758167985,1.7556353030984457,-3.2682845978352004,2649.3795259123253,8142,0.15,2.29,24610,50279.55
6,Beverton-Holt,Smsy,2649.3795259123253,Ricker,24610,878.61,143992.12,1.002,828.8967382476258,6.240231806366679,1.4581599758167985,1.7556353030984457,-3.2682845978352004,2649.3795259123253,8142,0.15,2.29,24610,50279.55
6,Beverton-Holt,alpha,1.4581599758167985,Ricker,0.15,0.01,0.68,1.001,-89.71306286774355,6.240231806366679,1.4581599758167985,1.7556353030984457,-3.2682845978352004,2649.3795259123253,8142,0.15,2.29,24610,50279.55
6,Beverton-Holt,b_cov,-3.2682845978352004,Ricker,-2.45,-3.29,-1.46,1.001,-25.037127989930987,6.240231806366679,1.4581599758167985,1.7556353030984457,-3.2682845978352004,2649.3795259123253,8142,0.15,2.29,24610,50279.55
