simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
62,Beverton-Holt,Smsy,2342.1027556160516,Ricker,5835.45,377.4,18643.5,1.002,149.1543116973568,1.8208105523868148,1.5828549992252707,2342.1027556160516,8163,0.26,2.19,5835.45,12100.12
62,Beverton-Holt,alpha,1.8208105523868148,Ricker,0.26,0.01,0.89,1,-85.72064514569193,1.8208105523868148,1.5828549992252707,2342.1027556160516,8163,0.26,2.19,5835.45,12100.12
62,Beverton-Holt,sigma,1.5828549992252707,Ricker,2.19,1.79,2.8,1.002,38.357588096944866,1.8208105523868148,1.5828549992252707,2342.1027556160516,8163,0.26,2.19,5835.45,12100.12
63,Ricker,K,8349,Beverton-Holt,7439.9,1341.37,85276.07,1.03,-10.888729189124449,2.3170821064349623,1.3022607948753002,2825.3264697507407,8349,4.24,5.41,690.52,7439.9
63,Ricker,Smsy,2825.3264697507407,Beverton-Holt,690.52,35.89,22819.88,1.033,-75.55963859776814,2.3170821064349623,1.3022607948753002,2825.3264697507407,8349,4.24,5.41,690.52,7439.9
63,Ricker,alpha,2.3170821064349623,Beverton-Holt,4.24,0.24,9.73,1.012,82.98876799508925,2.3170821064349623,1.3022607948753002,2825.3264697507407,8349,4.24,5.41,690.52,7439.9
63,Ricker,sigma,1.3022607948753002,Beverton-Holt,5.41,4.17,7.46,1.009,315.4313806642733,2.3170821064349623,1.3022607948753002,2825.3264697507407,8349,4.24,5.41,690.52,7439.9
63,Ricker,K,8349,Ricker,8837.8,6764.5,10754.29,1,5.854593364474779,2.3170821064349623,1.3022607948753002,2825.3264697507407,8349,2.55,1.49,2836.93,8837.8
63,Ricker,Smsy,2825.3264697507407,Ricker,2836.93,2472.61,3131.6,1,0.41069697160635976,2.3170821064349623,1.3022607948753002,2825.3264697507407,8349,2.55,1.49,2836.93,8837.8
63,Ricker,alpha,2.3170821064349623,Ricker,2.55,1.85,3.21,1,10.052207166857912,2.3170821064349623,1.3022607948753002,2825.3264697507407,8349,2.55,1.49,2836.93,8837.8
63,Ricker,sigma,1.3022607948753002,Ricker,1.49,1.16,2.02,1.001,14.416406134892283,2.3170821064349623,1.3022607948753002,2825.3264697507407,8349,2.55,1.49,2836.93,8837.8
64,Beverton-Holt,K,9032,Beverton-Holt,8456.54,7744.38,9280.39,1.002,-6.371346324180681,2.2418772534529134,0.1976027689510651,2220.4017659907418,9032,2.42,0.19,1943.95,8456.54
64,Beverton-Holt,Smsy,2220.4017659907418,Beverton-Holt,1943.95,206.95,2659.96,1.006,-12.450529008987214,2.2418772534529134,0.1976027689510651,2220.4017659907418,9032,2.42,0.19,1943.95,8456.54
64,Beverton-Holt,alpha,2.2418772534529134,Beverton-Holt,2.42,1.75,7.25,1.007,7.945249735361019,2.2418772534529134,0.1976027689510651,2220.4017659907418,9032,2.42,0.19,1943.95,8456.54
64,Beverton-Holt,sigma,0.1976027689510651,Beverton-Holt,0.19,0.15,0.24,1.003,-3.8475012224893814,2.2418772534529134,0.1976027689510651,2220.4017659907418,9032,2.42,0.19,1943.95,8456.54
64,Beverton-Holt,K,9032,Ricker,8856.27,8296.23,9540.54,1.001,-1.9456377325066383,2.2418772534529134,0.1976027689510651,2220.4017659907418,9032,1.23,0.21,3690.87,8856.27
64,Beverton-Holt,Smsy,2220.4017659907418,Ricker,3690.87,3418.27,4022.55,1.001,66.22532266601473,2.2418772534529134,0.1976027689510651,2220.4017659907418,9032,1.23,0.21,3690.87,8856.27
64,Beverton-Holt,alpha,2.2418772534529134,Ricker,1.23,1.08,1.38,1.001,-45.135265630374356,2.2418772534529134,0.1976027689510651,2220.4017659907418,9032,1.23,0.21,3690.87,8856.27
64,Beverton-Holt,sigma,0.1976027689510651,Ricker,0.21,0.17,0.26,1.002,6.273814438301204,2.2418772534529134,0.1976027689510651,2220.4017659907418,9032,1.23,0.21,3690.87,8856.27
65,Ricker,K,9661,Beverton-Holt,14761.33,8910.32,49252.93,1.017,52.79298209295104,0.37218579031517285,0.7441024802693529,4599.002939927983,9661,0.66,0.6,6121.79,14761.33
