clones,parameter,fitting_model,estimate_median,estimate_lower,estimate_upper,estimate_variance,Rhat,error,true_value,generating_model,min_S,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
7,K,Ricker,19207.5,13062.36,37728.09,60674505.7889,1.005,92.075,10000,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.46,1.22,9011.99,19207.5
7,Smsy,Ricker,9011.99,6185.5,17942.89,14001826.5968,1.005,146.3204886449078,3658.6440898919936,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.46,1.22,9011.99,19207.5
7,alpha,Ricker,0.46,0.26,0.67,0.0107,1.005,-58.18181818181819,1.1,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.46,1.22,9011.99,19207.5
7,sigma,Ricker,1.22,1.13,1.32,0.0024,1.001,10.9090909090909,1.1,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.46,1.22,9011.99,19207.5
7,K,Ricker,6831.35,4396.82,9333.32,1537650.3363,1,-31.686499999999995,10000,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.48,1.19,3189.72,6831.35
7,Smsy,Ricker,3189.72,2121.82,4327.05,305121.3382,1,-25.077317678057753,4257.348911099839,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.48,1.19,3189.72,6831.35
7,alpha,Ricker,0.48,0.23,0.74,0.0171,1.002,-56.363636363636374,1.1,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.48,1.19,3189.72,6831.35
7,sigma,Ricker,1.19,1.08,1.31,0.0034,1.001,8.181818181818167,1.1,Ricker,1085.482198065044,1.1,1.1,4257.348911099839,10000,0.48,1.19,3189.72,6831.35
8,K,Beverton-Holt,12003,9332.73,17231.2,4094759.6791,1.001,20.03,10000,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.97,1.2,4552.3,12003
8,Smsy,Beverton-Holt,4552.3,3116.45,7088.94,1017049.0562,1.001,24.425877132377423,3658.6440898919936,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.97,1.2,4552.3,12003
8,alpha,Beverton-Holt,0.97,0.58,1.58,0.0646,1,-11.818181818181827,1.1,Beverton-Holt,1202.451331276159,1.1,1.1,3658.6440898919936,10000,0.97,1.2,4552.3,12003
