simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,b_cov,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
9,Beverton-Holt,b_cov,0.9702580458624804,Beverton-Holt,0.98,0.88,1.08,1.001,1.0040580626012479,679.9634462889076,1.2922604841237084,0.3483571836214444,0.9702580458624804,3280.100643558405,9539,1.55,0.31,2730.5,8654.69
9,Beverton-Holt,sigma,0.3483571836214444,Beverton-Holt,0.31,0.25,0.39,1,-11.010877749869142,679.9634462889076,1.2922604841237084,0.3483571836214444,0.9702580458624804,3280.100643558405,9539,1.55,0.31,2730.5,8654.69
9,Beverton-Holt,K,9539,Ricker,14208.7,11636.48,17204.96,1,48.95376873886152,679.9634462889076,1.2922604841237084,0.3483571836214444,0.9702580458624804,3280.100643558405,9539,0.81,0.43,6334.4,14208.7
9,Beverton-Holt,Smsy,3280.100643558405,Ricker,6334.4,5274.02,7626.89,1,93.11602564512012,679.9634462889076,1.2922604841237084,0.3483571836214444,0.9702580458624804,3280.100643558405,9539,0.81,0.43,6334.4,14208.7
9,Beverton-Holt,alpha,1.2922604841237084,Ricker,0.81,0.63,0.99,1,-37.319138830646274,679.9634462889076,1.2922604841237084,0.3483571836214444,0.9702580458624804,3280.100643558405,9539,0.81,0.43,6334.4,14208.7
9,Beverton-Holt,b_cov,0.9702580458624804,Ricker,0.96,0.82,1.1,1,-1.0572492447987794,679.9634462889076,1.2922604841237084,0.3483571836214444,0.9702580458624804,3280.100643558405,9539,0.81,0.43,6334.4,14208.7
9,Beverton-Holt,sigma,0.3483571836214444,Ricker,0.43,0.35,0.55,1,23.436524411471833,679.9634462889076,1.2922604841237084,0.3483571836214444,0.9702580458624804,3280.100643558405,9539,0.81,0.43,6334.4,14208.7
10,Beverton-Holt,K,8971,Beverton-Holt,10819.25,6125.21,22863.86,1.002,20.602496934566936,1536.9811742217305,1.3712979131238365,0.9415686325554988,0.3229530321969079,3005.3000933378403,8971,3.94,1.3,1278.71,10819.25
10,Beverton-Holt,Smsy,3005.3000933378403,Beverton-Holt,1278.71,78.88,7941.2,1.004,-57.45150366731599,1536.9811742217305,1.3712979131238365,0.9415686325554988,0.3229530321969079,3005.3000933378403,8971,3.94,1.3,1278.71,10819.25
10,Beverton-Holt,alpha,1.3712979131238365,Beverton-Holt,3.94,0.61,9.61,1.002,187.31904003446067,1536.9811742217305,1.3712979131238365,0.9415686325554988,0.3229530321969079,3005.3000933378403,8971,3.94,1.3,1278.71,10819.25
10,Beverton-Holt,b_cov,0.3229530321969079,Beverton-Holt,0.38,-0.2,0.93,1,17.66416850618388,1536.9811742217305,1.3712979131238365,0.9415686325554988,0.3229530321969079,3005.3000933378403,8971,3.94,1.3,1278.71,10819.25
10,Beverton-Holt,sigma,0.9415686325554988,Beverton-Holt,1.3,1,1.79,1,38.067471138209804,1536.9811742217305,1.3712979131238365,0.9415686325554988,0.3229530321969079,3005.3000933378403,8971,3.94,1.3,1278.71,10819.25
10,Beverton-Holt,K,8971,Ricker,16324.55,7600.28,26066.21,1.001,81.97023743172443,1536.9811742217305,1.3712979131238365,0.9415686325554988,0.3229530321969079,3005.3000933378403,8971,0.94,1.21,7056.56,16324.55
10,Beverton-Holt,Smsy,3005.3000933378403,Ricker,7056.56,3595.47,10933.29,1.001,134.80383924530557,1536.9811742217305,1.3712979131238365,0.9415686325554988,0.3229530321969079,3005.3000933378403,8971,0.94,1.21,7056.56,16324.55
10,Beverton-Holt,alpha,1.3712979131238365,Ricker,0.94,0.34,1.56,1.001,-31.451802631372324,1536.9811742217305,1.3712979131238365,0.9415686325554988,0.3229530321969079,3005.3000933378403,8971,0.94,1.21,7056.56,16324.55
10,Beverton-Holt,b_cov,0.3229530321969079,Ricker,0.4,-0.15,0.94,1,23.857019480193564,1536.9811742217305,1.3712979131238365,0.9415686325554988,0.3229530321969079,3005.3000933378403,8971,0.94,1.21,7056.56,16324.55
10,Beverton-Holt,sigma,0.9415686325554988,Ricker,1.21,0.93,1.66,1.001,28.5089539055645,1536.9811742217305,1.3712979131238365,0.9415686325554988,0.3229530321969079,3005.3000933378403,8971,0.94,1.21,7056.56,16324.55
