simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,min_S,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
8,Ricker,K,10000,Ricker,9577.89,8929.83,10415.91,1,-4.221100000000006,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.09,0.12,4080.89,9577.89
8,Ricker,Smsy,4257.348911099839,Ricker,4080.89,3751.12,4496.31,1.001,-4.1448073621537596,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.09,0.12,4080.89,9577.89
8,Ricker,alpha,1.1,Ricker,1.09,0.97,1.21,1.001,-0.9090909090909098,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.09,0.12,4080.89,9577.89
8,Ricker,sigma,0.1,Ricker,0.12,0.09,0.16,1.001,19.99999999999999,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.09,0.12,4080.89,9577.89
9,Beverton-Holt,K,10000,Beverton-Holt,10169,9174.93,11557.9,1.001,1.69,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,1.09,0.11,3726.52,10169
9,Beverton-Holt,Smsy,3658.6440898919936,Beverton-Holt,3726.52,3227.48,4393.67,1.001,1.8552203614320433,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,1.09,0.11,3726.52,10169
9,Beverton-Holt,alpha,1.1,Beverton-Holt,1.09,0.95,1.25,1.001,-0.9090909090909098,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,1.09,0.11,3726.52,10169
9,Beverton-Holt,sigma,0.1,Beverton-Holt,0.11,0.09,0.15,1.001,9.999999999999995,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,1.09,0.11,3726.52,10169
9,Ricker,K,10000,Beverton-Holt,10035.85,9146.92,11149.4,1.001,0.35850000000000365,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.48,0.12,3240.27,10035.85
9,Ricker,Smsy,4257.348911099839,Beverton-Holt,3240.27,2680.46,3888.93,1.001,-23.88995904113219,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.48,0.12,3240.27,10035.85
9,Ricker,alpha,1.1,Beverton-Holt,1.48,1.21,1.81,1.001,34.54545454545453,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.48,0.12,3240.27,10035.85
9,Ricker,sigma,0.1,Beverton-Holt,0.12,0.09,0.16,1.001,19.99999999999999,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.48,0.12,3240.27,10035.85
9,Beverton-Holt,K,10000,Ricker,9336.81,8571.11,10414.43,1.001,-6.631900000000006,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,0.94,0.12,4082.41,9336.81
9,Beverton-Holt,Smsy,3658.6440898919936,Ricker,4082.41,3712.55,4606.83,1.001,11.582594526720312,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,0.94,0.12,4082.41,9336.81
9,Beverton-Holt,alpha,1.1,Ricker,0.94,0.84,1.03,1.002,-14.545454545454557,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,0.94,0.12,4082.41,9336.81
9,Beverton-Holt,sigma,0.1,Ricker,0.12,0.09,0.15,1.001,19.99999999999999,1268.1106883009015,1.1,0.1,3658.6440898919936,10000,0.94,0.12,4082.41,9336.81
9,Ricker,K,10000,Ricker,9580.38,8936.34,10421.75,1,-4.196200000000008,1917.312244482236,1.1,0.1,4257.348911099839,10000,1.09,0.12,4082.9,9580.38
