simulation,generating_model,parameter,true_value,fitting_model,estimate_median,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,Smsy,K,alpha_estimate,sigma_estimate,Smsy_estimate,K_estimate
26,Ricker,alpha,0.48074434517660225,Beverton-Holt,0.53,0.07,1.55,1.038,10.245706541863457,0.48074434517660225,1.1992081652335789,4158.707129514856,8871,0.53,1.18,3426.85,8232.56
26,Ricker,sigma,1.1992081652335789,Beverton-Holt,1.18,0.97,1.46,1.009,-1.6017373622399922,0.48074434517660225,1.1992081652335789,4158.707129514856,8871,0.53,1.18,3426.85,8232.56
26,Ricker,K,8871,Ricker,8874.63,2278.44,22560.73,NA,0.04091985120053206,0.48074434517660225,1.1992081652335789,4158.707129514856,8871,0.48,1.18,4110.66,8874.63
26,Ricker,Smsy,4158.707129514856,Ricker,4110.66,1122.02,10379.7,1.003,-1.1553381379963008,0.48074434517660225,1.1992081652335789,4158.707129514856,8871,0.48,1.18,4110.66,8874.63
26,Ricker,alpha,0.48074434517660225,Ricker,0.48,0.08,0.89,1.002,-0.15483181114253802,0.48074434517660225,1.1992081652335789,4158.707129514856,8871,0.48,1.18,4110.66,8874.63
26,Ricker,sigma,1.1992081652335789,Ricker,1.18,0.98,1.47,1.002,-1.6017373622399922,0.48074434517660225,1.1992081652335789,4158.707129514856,8871,0.48,1.18,4110.66,8874.63
27,Beverton-Holt,K,9290,Beverton-Holt,11941.68,7166.18,41607.65,1.035,28.543379978471474,0.6128646519636352,0.32948105550513307,3938.828134370917,9290,0.66,0.35,4990.25,11941.68
27,Beverton-Holt,Smsy,3938.828134370917,Beverton-Holt,4990.25,2828.95,18309.95,1.036,26.69377362404286,0.6128646519636352,0.32948105550513307,3938.828134370917,9290,0.66,0.35,4990.25,11941.68
27,Beverton-Holt,alpha,0.6128646519636352,Beverton-Holt,0.66,0.42,0.98,1.008,7.690988195410183,0.6128646519636352,0.32948105550513307,3938.828134370917,9290,0.66,0.35,4990.25,11941.68
27,Beverton-Holt,sigma,0.32948105550513307,Beverton-Holt,0.35,0.27,0.46,1.002,6.2276553240394845,0.6128646519636352,0.32948105550513307,3938.828134370917,9290,0.66,0.35,4990.25,11941.68
27,Beverton-Holt,K,9290,Ricker,11726.39,7454.5,34673.47,NA,26.225941872981693,0.6128646519636352,0.32948105550513307,3938.828134370917,9290,0.61,0.35,5396.38,11726.39
27,Beverton-Holt,Smsy,3938.828134370917,Ricker,5396.38,3380.33,16224.34,1.017,37.00470840324881,0.6128646519636352,0.32948105550513307,3938.828134370917,9290,0.61,0.35,5396.38,11726.39
27,Beverton-Holt,alpha,0.6128646519636352,Ricker,0.61,0.41,0.82,1.014,-0.4674200012118082,0.6128646519636352,0.32948105550513307,3938.828134370917,9290,0.61,0.35,5396.38,11726.39
27,Beverton-Holt,sigma,0.32948105550513307,Ricker,0.35,0.28,0.46,1.005,6.2276553240394845,0.6128646519636352,0.32948105550513307,3938.828134370917,9290,0.61,0.35,5396.38,11726.39
28,Ricker,K,8874,Beverton-Holt,5931.27,2594.49,13728.53,1.002,-33.161257606490864,3.5594160990751282,0.7877129284041265,2313.656679535771,8874,5.82,2.51,306.84,5931.27
28,Ricker,Smsy,2313.656679535771,Beverton-Holt,306.84,35.55,2239.11,1.002,-86.73787676823484,3.5594160990751282,0.7877129284041265,2313.656679535771,8874,5.82,2.51,306.84,5931.27
